predictor,feature,feature_group,feature_mse
global_mean,pix_154,pix,1.0208313465118408
global_mean,pix_155,pix,0.9905785322189331
global_mean,pix_156,pix,1.0142828226089478
global_mean,pix_157,pix,0.9863754510879517
global_mean,pix_158,pix,0.9857209920883179
global_mean,pix_159,pix,0.9880185127258301
global_mean,pix_160,pix,1.0128366947174072
global_mean,pix_161,pix,1.0291155576705933
global_mean,pix_162,pix,1.0230618715286255
global_mean,pix_163,pix,1.002466082572937
global_mean,pix_164,pix,1.068731427192688
global_mean,pix_165,pix,1.098422884941101
global_mean,pix_166,pix,1.0004887580871582
global_mean,pix_167,pix,0.991976261138916
global_mean,pix_168,pix,0.9773380756378174
global_mean,pix_169,pix,1.0048409700393677
global_mean,pix_170,pix,1.0236564874649048
global_mean,pix_171,pix,0.9782949686050415
global_mean,pix_172,pix,1.0013532638549805
global_mean,pix_173,pix,1.0082063674926758
global_mean,pix_174,pix,1.0074467658996582
global_mean,pix_175,pix,0.9876408576965332
global_mean,pix_176,pix,1.0345550775527954
global_mean,pix_177,pix,1.0088366270065308
global_mean,pix_178,pix,1.0189520120620728
global_mean,pix_179,pix,1.042119026184082
global_mean,pix_180,pix,1.1249818801879883
global_mean,pix_181,pix,1.0352113246917725
global_mean,pix_182,pix,0.9894349575042725
global_mean,pix_183,pix,1.0012767314910889
global_mean,pix_184,pix,0.9910129308700562
global_mean,pix_185,pix,1.0157307386398315
global_mean,pix_186,pix,1.0013524293899536
global_mean,pix_187,pix,0.9605581164360046
global_mean,pix_188,pix,0.9915653467178345
global_mean,pix_189,pix,1.0051957368850708
global_mean,pix_190,pix,1.0437402725219727
global_mean,pix_191,pix,1.0033358335494995
global_mean,pix_192,pix,1.0101486444473267
global_mean,pix_193,pix,0.9805297255516052
global_mean,pix_194,pix,0.9352580904960632
global_mean,pix_195,pix,1.0551410913467407
global_mean,pix_196,pix,1.0041780471801758
global_mean,pix_197,pix,0.9881227016448975
global_mean,pix_198,pix,0.9574189782142639
global_mean,pix_199,pix,0.9631620645523071
global_mean,pix_200,pix,0.9595077037811279
global_mean,pix_201,pix,0.953708827495575
